timeID,startYear,endYear,kBP
20,1900,1990,0
19,1800,1899,0.1
18,1700,1799,0.2
17,1600,1699,0.3
16,1500,1599,0.4
15,1400,1499,0.5
14,1300,1399,0.6
13,1200,1299,0.7
12,1100,1199,0.8
11,1000,1099,0.9
10,900,999,1
9,800,899,1.1
8,700,799,1.2
7,600,699,1.3
6,500,599,1.4
5,400,499,1.5
4,300,399,1.6
3,200,299,1.7
2,100,199,1.8
1,0,99,1.9
0,-100,-1,2
-1,-200,-101,2.1
-2,-300,-201,2.2
-3,-400,-301,2.3
-4,-500,-401,2.4
-5,-600,-501,2.5
-6,-700,-601,2.6
-7,-800,-701,2.7
-8,-900,-801,2.8
-9,-1000,-901,2.9
-10,-1100,-1001,3
-11,-1200,-1101,3.1
-12,-1300,-1201,3.2
-13,-1400,-1301,3.3
-14,-1500,-1401,3.4
-15,-1600,-1501,3.5
-16,-1700,-1601,3.6
-17,-1800,-1701,3.7
-18,-1900,-1801,3.8
-19,-2000,-1901,3.9
-20,-2100,-2001,4
-21,-2200,-2101,4.1
-22,-2300,-2201,4.2
-23,-2400,-2301,4.3
-24,-2500,-2401,4.4
-25,-2600,-2501,4.5
-26,-2700,-2601,4.6
-27,-2800,-2701,4.7
-28,-2900,-2801,4.8
-29,-3000,-2901,4.9
-30,-3100,-3001,5
-31,-3200,-3101,5.1
-32,-3300,-3201,5.2
-33,-3400,-3301,5.3
-34,-3500,-3401,5.4
-35,-3600,-3501,5.5
-36,-3700,-3601,5.6
-37,-3800,-3701,5.7
-38,-3900,-3801,5.8
-39,-4000,-3901,5.9
-40,-4100,-4001,6
-41,-4200,-4101,6.1
-42,-4300,-4201,6.2
-43,-4400,-4301,6.3
-44,-4500,-4401,6.4
-45,-4600,-4501,6.5
-46,-4700,-4601,6.6
-47,-4800,-4701,6.7
-48,-4900,-4801,6.8
-49,-5000,-4901,6.9
-50,-5100,-5001,7
-51,-5200,-5101,7.1
-52,-5300,-5201,7.2
-53,-5400,-5301,7.3
-54,-5500,-5401,7.4
-55,-5600,-5501,7.5
-56,-5700,-5601,7.6
-57,-5800,-5701,7.7
-58,-5900,-5801,7.8
